path,x1,y1,x2,y2
3062 Round Brick 1x1 006R.png,147,131,252,266
3062 Round Brick 1x1 005R.png,145,145,253,253
3062 Round Brick 1x1 281R.png,154,141,247,265
3062 Round Brick 1x1 256R.png,135,150,266,250
3062 Round Brick 1x1 076R.png,133,154,261,247
3062 Round Brick 1x1 246R.png,134,154,267,246
3062 Round Brick 1x1 061R.png,130,145,265,255
3062 Round Brick 1x1 094L.png,151,148,248,251
3062 Round Brick 1x1 315R.png,152,131,247,266
3062 Round Brick 1x1 266R.png,141,148,265,253
3062 Round Brick 1x1 232L.png,129,138,264,267
3062 Round Brick 1x1 380L.png,138,138,268,264
3062 Round Brick 1x1 358R.png,146,145,255,254
3062 Round Brick 1x1 091R.png,150,144,250,255
3062 Round Brick 1x1 353R.png,149,133,251,265
3062 Round Brick 1x1 159L.png,153,132,248,268
3062 Round Brick 1x1 040R.png,131,145,264,254
3062 Round Brick 1x1 259L.png,136,138,261,268
3062 Round Brick 1x1 242R.png,140,142,266,261
3062 Round Brick 1x1 270L.png,155,137,246,270
3062 Round Brick 1x1 198R.png,135,136,259,259
3062 Round Brick 1x1 222L.png,152,132,250,273
3062 Round Brick 1x1 261R.png,154,141,244,262
3062 Round Brick 1x1 387L.png,144,127,257,269
3062 Round Brick 1x1 384L.png,155,151,246,248
3062 Round Brick 1x1 070R.png,151,135,249,267
3062 Round Brick 1x1 054L.png,144,131,257,274
3062 Round Brick 1x1 059R.png,139,138,258,267
3062 Round Brick 1x1 391R.png,141,146,266,254
3062 Round Brick 1x1 288L.png,131,151,274,248
3062 Round Brick 1x1 338R.png,141,141,265,264
3062 Round Brick 1x1 283L.png,136,129,271,264
3062 Round Brick 1x1 024L.png,145,137,253,268
3062 Round Brick 1x1 348R.png,135,155,265,245
3062 Round Brick 1x1 131R.png,135,155,260,246
3062 Round Brick 1x1 230R.png,145,136,255,269
3062 Round Brick 1x1 037L.png,154,133,247,265
3062 Round Brick 1x1 181L.png,131,143,274,258
3062 Round Brick 1x1 057L.png,131,152,274,248
3062 Round Brick 1x1 396L.png,147,135,252,271
3062 Round Brick 1x1 044L.png,131,149,272,251
3062 Round Brick 1x1 021L.png,149,132,252,271
3062 Round Brick 1x1 064L.png,136,140,261,263
3062 Round Brick 1x1 375L.png,152,133,249,269
3062 Round Brick 1x1 382R.png,153,142,246,263
3062 Round Brick 1x1 187L.png,144,126,258,269
3062 Round Brick 1x1 122L.png,136,127,261,267
3062 Round Brick 1x1 088R.png,141,131,256,265
3062 Round Brick 1x1 028L.png,130,149,269,251
3062 Round Brick 1x1 380R.png,142,142,264,262
3062 Round Brick 1x1 180R.png,140,155,267,244
3062 Round Brick 1x1 286R.png,134,156,269,244
3062 Round Brick 1x1 276L.png,154,148,247,251
3062 Round Brick 1x1 325R.png,150,132,250,261
3062 Round Brick 1x1 398R.png,138,151,257,248
3062 Round Brick 1x1 368L.png,139,132,264,273
3062 Round Brick 1x1 013R.png,153,142,245,257
3062 Round Brick 1x1 100L.png,147,149,252,252
3062 Round Brick 1x1 115R.png,134,145,270,254
3062 Round Brick 1x1 137R.png,145,133,253,261
3062 Round Brick 1x1 339L.png,153,139,249,263
3062 Round Brick 1x1 026L.png,129,141,265,259
3062 Round Brick 1x1 240R.png,134,148,268,253
3062 Round Brick 1x1 393L.png,149,132,252,270
3062 Round Brick 1x1 156R.png,142,142,256,256
3062 Round Brick 1x1 255R.png,135,143,269,260
3062 Round Brick 1x1 344R.png,137,156,263,244
3062 Round Brick 1x1 336L.png,140,135,259,272
3062 Round Brick 1x1 074L.png,127,139,268,263
3062 Round Brick 1x1 374R.png,130,142,264,260
3062 Round Brick 1x1 195R.png,155,137,245,262
3062 Round Brick 1x1 254L.png,131,148,271,252
3062 Round Brick 1x1 379R.png,142,146,264,254
3062 Round Brick 1x1 343R.png,134,153,269,246
3062 Round Brick 1x1 350R.png,144,143,256,257
3062 Round Brick 1x1 244L.png,154,139,246,262
3062 Round Brick 1x1 314L.png,147,131,253,273
3062 Round Brick 1x1 052L.png,136,140,272,262
3062 Round Brick 1x1 231L.png,127,142,269,259
3062 Round Brick 1x1 135R.png,144,130,255,265
3062 Round Brick 1x1 251L.png,131,144,272,255
3062 Round Brick 1x1 364L.png,130,142,263,260
3062 Round Brick 1x1 025R.png,152,131,247,266
3062 Round Brick 1x1 231R.png,151,144,251,255
3062 Round Brick 1x1 385L.png,133,127,262,267
3062 Round Brick 1x1 072L.png,154,139,246,260
3062 Round Brick 1x1 150L.png,144,138,255,265
3062 Round Brick 1x1 177L.png,132,149,271,251
3062 Round Brick 1x1 172R.png,151,135,247,269
3062 Round Brick 1x1 186L.png,139,133,263,272
3062 Round Brick 1x1 184R.png,140,138,258,258
3062 Round Brick 1x1 379L.png,134,142,272,256
3062 Round Brick 1x1 026R.png,141,144,262,256
3062 Round Brick 1x1 247R.png,155,130,245,265
3062 Round Brick 1x1 166R.png,147,132,253,265
3062 Round Brick 1x1 208R.png,146,141,254,266
3062 Round Brick 1x1 031L.png,134,138,261,267
3062 Round Brick 1x1 068R.png,143,131,259,263
3062 Round Brick 1x1 312R.png,144,141,256,258
3062 Round Brick 1x1 282R.png,149,130,252,265
3062 Round Brick 1x1 187R.png,145,130,254,265
3062 Round Brick 1x1 341L.png,139,137,267,271
3062 Round Brick 1x1 049R.png,148,131,252,265
3062 Round Brick 1x1 312L.png,128,137,267,261
3062 Round Brick 1x1 108R.png,140,133,266,261
3062 Round Brick 1x1 060R.png,147,131,252,265
3062 Round Brick 1x1 241R.png,142,156,262,245
3062 Round Brick 1x1 192L.png,152,140,247,263
3062 Round Brick 1x1 295R.png,138,136,258,269
3062 Round Brick 1x1 149L.png,140,145,261,254
3062 Round Brick 1x1 243R.png,153,152,245,249
3062 Round Brick 1x1 190R.png,144,152,255,247
3062 Round Brick 1x1 083R.png,157,138,244,258
3062 Round Brick 1x1 286L.png,144,154,258,247
3062 Round Brick 1x1 038L.png,141,127,262,269
3062 Round Brick 1x1 150R.png,137,142,269,262
3062 Round Brick 1x1 090L.png,132,147,270,252
3062 Round Brick 1x1 064R.png,132,143,262,258
3062 Round Brick 1x1 334R.png,149,151,253,248
3062 Round Brick 1x1 264R.png,130,152,265,247
3062 Round Brick 1x1 327L.png,144,126,255,269
3062 Round Brick 1x1 323L.png,145,138,254,265
3062 Round Brick 1x1 055L.png,153,136,246,260
3062 Round Brick 1x1 134R.png,144,137,257,269
3062 Round Brick 1x1 363R.png,134,146,269,254
3062 Round Brick 1x1 218L.png,146,128,256,266
3062 Round Brick 1x1 130L.png,127,140,269,264
3062 Round Brick 1x1 010L.png,127,144,268,256
